Start Time,Outage Duration
2022-08-15 12:13:35,0:01:46
2022-08-15 12:35:36,0:04:34
2022-08-29 13:13:01,0:02:41
2022-08-31 13:09:07,0:02:20
2022-08-31 17:18:07,0:02:10
2022-09-01 21:15:56,0:02:00
2022-09-05 09:40:58,0:02:34
2022-09-05 11:23:34,0:02:52
2022-09-05 19:54:10,0:02:33
2022-09-20 17:34:47,7:59:22
2022-09-21 03:36:09,0:01:52
2022-09-22 14:52:28,0:02:20
2022-09-22 16:52:14,0:02:23
2022-10-01 01:05:11,0:02:37
2022-10-01 02:33:02,0:02:33
2022-10-01 08:17:27,0:02:39
2022-10-03 06:29:42,0:02:11
2022-10-07 09:06:09,0:02:47
2023-02-03 18:24:44,0:02:30
2023-02-04 10:53:40,0:02:15
2023-02-04 10:59:47,0:03:49
2023-02-04 12:48:32,0:03:48
2023-02-04 14:53:56,0:03:49
2023-02-04 15:39:21,0:06:26
2023-02-04 15:50:36,0:02:07
2023-02-11 03:46:32,0:02:48
2023-02-11 13:43:23,0:02:34
2023-02-12 21:34:00,0:01:54
2023-02-13 02:24:44,0:03:11
2023-02-13 03:18:48,0:03:49
2023-02-13 03:51:50,0:03:53
2023-02-14 03:26:59,0:02:38
2023-02-15 17:16:16,0:02:47
2023-02-16 11:23:14,0:01:57
2023-02-16 13:45:18,0:03:59
2023-02-16 19:17:23,0:03:54
2023-02-17 01:43:45,0:03:44
2023-02-17 02:03:36,0:02:03
2023-02-17 02:37:55,0:03:47
2023-02-17 02:45:14,0:03:41
2023-02-17 05:29:21,0:03:47
2023-02-17 05:33:49,0:01:58
2023-02-17 07:10:22,0:02:02
2023-02-18 05:55:48,0:02:01
2023-02-18 08:54:24,0:02:05
2023-02-18 09:55:05,0:01:50
2023-02-18 09:59:59,0:03:44
2023-02-18 11:57:08,0:03:56
2023-02-18 12:01:15,0:03:41
2023-02-18 12:43:30,0:03:57
2023-02-18 15:31:11,0:01:57
2023-02-20 19:44:41,0:01:57
2023-02-21 02:26:48,0:02:42
2023-02-21 04:43:36,0:03:39
2023-02-21 05:00:41,0:03:55
2023-02-21 07:11:42,0:03:44
2023-02-21 08:06:00,0:03:48
2023-02-21 08:13:58,0:03:55
2023-02-22 14:42:57,0:02:30
2023-02-22 19:11:08,0:02:30
2023-02-22 21:43:10,11:00:42
2023-02-23 22:54:55,0:01:57
2023-02-24 20:39:29,0:01:53
2023-02-26 08:53:12,0:02:13
2023-03-01 06:23:28,0:02:01
2023-03-01 18:21:38,0:02:29
2023-03-01 18:24:28,0:03:49
2023-03-01 18:33:46,0:03:51
2023-03-01 18:50:03,0:03:53
2023-03-02 16:12:14,0:02:27
